
Nr   Nume               Grupa   An      Absente

11   Petre-82	  	 1045	 3	 12 0 13 3 2 12 14 11 3 6 9 2 11 14 0 5 6 9 9 5 2 10 9 3 1 0 13 10 9 2 

15   Gabriel-36	  	 1067	 4	 2 11 3 7 0 11 8 13 13 5 10 3 1 5 3 10 8 2 14 2 14 2 14 5 9 6 4 5 5 1 

30   Estera-95	  	 1035	 2	 0 4 0 12 7 6 13 13 13 4 14 13 10 11 6 8 8 2 1 11 12 4 10 3 7 12 6 9 6 3 

44   Stefan-27	  	 1043	 3	 3 12 6 7 9 11 13 2 11 4 13 13 9 14 6 1 0 7 5 14 3 1 14 0 6 8 6 9 4 12 

54   Ionela-11	  	 1087	 5	 11 1 10 11 3 9 11 13 6 2 7 11 8 14 0 3 2 6 14 13 8 12 0 12 14 6 4 6 1 7 

64   Tiberiu-28	  	 1047	 3	 4 7 9 6 5 5 3 2 6 14 6 4 1 0 0 9 1 1 5 10 5 2 13 1 9 0 14 12 3 11 

65   Aurel-10	  	 1052	 3	 6 10 10 13 13 14 0 8 13 12 11 4 9 5 7 0 8 13 0 5 8 12 11 6 7 0 0 0 9 14 

81   Claudiu-9	  	 1004	 1	 6 6 1 6 3 8 5 8 7 6 8 2 6 4 14 2 6 0 6 4 8 9 11 5 10 3 0 0 1 1 

88   Gabriela-96	  	 1041	 3	 3 11 8 1 13 14 3 1 6 9 12 14 11 12 9 3 9 5 1 11 11 6 1 12 7 12 10 6 11 10 

103   Madalina-58	  	 1010	 1	 5 2 0 6 6 12 3 8 14 8 5 6 2 14 9 4 3 12 9 6 14 2 12 5 11 6 12 12 14 10 

108   Cristian-28	  	 1021	 2	 14 8 0 7 2 13 3 9 7 9 10 5 13 3 12 8 6 6 4 9 2 10 10 9 0 8 1 12 14 11 

123   Alexandru-2	  	 1058	 3	 0 14 7 11 8 8 1 4 4 2 7 11 10 14 9 5 2 7 4 6 7 10 0 4 12 12 5 3 9 7 

131   Ionut-4	  	 1045	 3	 14 12 8 6 7 11 8 8 3 7 14 14 14 12 1 6 3 10 1 0 0 5 3 9 3 1 3 12 14 4 

141   Dalia-46	  	 1044	 3	 13 0 6 2 12 6 6 4 4 12 10 3 11 8 8 7 2 5 13 14 11 8 4 14 13 9 2 14 14 3 

