Nr matricol 	Nume 		Grupa 	An 		Absente
11 			Petre-82 		1045 	3 		12 13 2 14 3 9 11 0 6 9 2 9 1 13 9 
15 			Gabriel-36 		1067 	4 		2 3 0 8 13 10 1 3 8 14 14 14 9 4 5 
30 			Estera-95 		1035 	2 		0 0 7 13 13 14 10 6 8 1 12 10 7 6 6 
44 			Stefan-27 		1043 	3 		3 6 9 13 11 13 9 6 0 5 3 14 6 6 4 
54 			Ionela-11 		1087 	5 		11 10 3 11 6 7 8 0 2 14 8 0 14 4 1 
64 			Tiberiu-28 		1047 	3 		4 9 5 3 6 6 1 0 1 5 5 13 9 14 3 
65 			Aurel-10 		1052 	3 		6 10 13 0 13 11 9 7 8 0 8 11 7 0 9 
81 			Claudiu-9 		1004 	1 		6 1 3 5 7 8 6 14 6 6 8 11 10 0 1 
88 			Gabriela-96 		1041 	3 		3 8 13 3 6 12 11 9 9 1 11 1 7 10 11 
103 			Madalina-58 		1010 	1 		5 0 6 3 14 5 2 9 3 9 14 12 11 12 14 
108 			Cristian-28 		1021 	2 		14 0 2 3 7 10 13 12 6 4 2 10 0 1 14 
123 			Alexandru-2 		1058 	3 		0 7 8 1 4 7 10 9 2 4 7 0 12 5 9 
131 			Ionut-4 		1045 	3 		14 8 7 8 3 14 14 1 3 1 0 3 3 3 14 
141 			Dalia-46 		1044 	3 		13 6 12 6 4 10 11 8 2 13 11 4 13 2 14 
146 			Ancuta-76 		1091 	5 		3 4 9 12 5 3 11 2 1 5 6 13 3 2 6 
159 			Cristina-67 		1088 	5 		12 13 12 7 1 11 13 5 3 2 3 7 11 0 2 
168 			Anda-38 		1045 	3 		9 8 11 1 8 12 10 8 3 11 9 3 4 9 14 
176 			Teodor-5 		1034 	2 		5 8 8 9 8 14 12 1 11 3 3 9 4 4 8 
185 			Suzana-76 		1070 	4 		10 12 2 4 1 11 13 4 10 13 7 10 5 7 7 
200 			Cristina-52 		1018 	1 		6 3 9 14 2 4 12 14 3 2 14 0 10 3 9 
207 			Andrei-58 		1043 	3 		12 14 1 10 0 9 14 1 12 10 7 10 4 10 13 
220 			Camelia-1 		1081 	5 		12 5 0 3 0 1 7 2 2 11 8 12 11 4 7 
229 			Tudor-61 		1008 	1 		11 1 4 11 12 0 1 8 8 3 3 12 9 9 11 
242 			Florentina-82 		1046 	3 		7 1 8 4 1 14 11 5 4 8 9 11 0 9 5 
254 			Suzana-90 		1047 	3 		2 10 6 3 11 13 12 5 2 3 14 1 3 3 9 
255 			Liviu-49 		1052 	3 		1 6 14 9 11 12 10 8 9 5 4 5 14 5 5 
269 			Anda-61 		1069 	4 		2 11 11 14 1 10 6 3 11 3 5 3 6 9 13 
278 			Ionut-56 		1039 	2 		14 4 11 12 10 3 11 10 13 14 13 2 6 0 10 
287 			Alin-96 		1015 	1 		2 11 13 12 4 13 7 7 2 1 10 6 5 12 0 
301 			Liviu-84 		1093 	5 		1 2 2 0 8 4 2 4 1 9 5 7 12 12 13 
308 			Andrei-36 		1057 	3 		5 6 3 3 8 0 8 1 13 6 0 10 7 12 13 
321 			Eliza-40 		1070 	4 		9 1 0 4 2 13 8 0 3 1 1 12 0 11 2 
330 			Alexandra-78 		1095 	5 		0 12 0 11 14 7 14 13 4 13 1 6 6 1 5 
338 			Marian-75 		1022 	2 		8 3 11 8 11 12 11 0 13 0 11 3 9 8 8 
352 			Aurel-65 		1063 	4 		4 11 13 12 10 11 5 11 5 6 14 6 10 7 10 
358 			Anda-35 		1043 	3 		4 12 13 3 5 14 14 3 10 12 10 8 8 9 8 
366 			Eliza-90 		1009 	1 		7 6 4 13 10 6 3 12 12 5 8 4 9 12 9 
376 			Laurentiu-34 		1030 	2 		2 4 5 11 7 14 14 4 12 13 0 3 7 7 14 
388 			Gabriela-79 		1087 	5 		13 1 9 0 14 1 3 7 1 0 12 11 4 12 9 
398 			Ruxandra-10 		1093 	5 		0 8 12 8 13 10 11 10 13 10 3 10 9 12 13 
414 			Tudor-34 		1078 	4 		6 1 3 11 1 8 0 8 12 3 9 1 2 13 1 
415 			Kamiana-97 		1079 	4 		6 10 1 6 3 9 4 8 9 7 9 14 13 11 5 
428 			Alin-48 		1078 	4 		13 14 12 5 12 9 11 13 5 6 12 8 10 5 9 
444 			Lucia-77 		1055 	3 		11 6 1 3 6 5 8 10 8 12 10 12 9 14 6 
450 			Cristina-88 		1047 	3 		6 11 5 6 5 9 12 1 14 3 7 10 4 6 5 
455 			Stefan-19 		1055 	3 		1 4 12 1 2 2 4 7 1 5 2 14 9 10 9 
471 			Doina-95 		1097 	5 		1 1 4 4 6 12 13 9 11 13 14 12 9 11 6 
481 			Aurel-3 		1061 	4 		13 8 12 5 11 1 9 12 8 7 1 11 13 5 2 
490 			Nicolae-83 		1055 	3 		7 14 1 10 11 12 0 1 3 0 13 6 7 2 2 
499 			Ion-43 		1010 	1 		10 14 8 14 14 6 4 12 6 3 8 11 1 5 3 
512 			Mircea-71 		1032 	2 		13 3 7 8 0 5 8 10 10 6 7 7 14 13 1 
516 			Camelia-25 		1044 	3 		7 4 6 11 12 13 7 11 12 14 1 9 5 13 3 
532 			Ciprian-50 		1068 	4 		10 5 5 2 12 11 0 10 13 2 13 14 9 8 0 
536 			Laurentiu-16 		1002 	1 		0 14 13 2 11 2 7 8 5 8 14 10 10 14 9 
552 			Maria-42 		1010 	1 		1 5 10 2 13 12 12 13 0 3 11 9 12 2 11 
557 			Rodica-83 		1048 	3 		0 11 12 4 10 3 7 3 14 11 13 4 9 14 9 
567 			Sorina-44 		1097 	5 		7 10 4 3 9 12 1 12 1 2 0 8 3 1 10 
580 			Ionut-96 		1066 	4 		11 14 7 14 8 8 11 3 13 1 14 8 3 13 9 
593 			Alexandra-33 		1052 	3 		3 6 4 0 8 2 11 11 13 14 8 9 8 0 3 
601 			Estera-20 		1002 	1 		3 4 9 14 2 4 3 4 10 1 9 2 12 14 2 
605 			Aurel-6 		1098 	5 		3 14 13 1 13 11 0 4 1 1 0 5 2 1 7 
615 			Andreea-26 		1057 	3 		5 9 14 10 7 12 12 4 7 4 2 12 13 4 2 
626 			Petre-77 		1093 	5 		12 8 8 4 13 5 5 1 2 0 0 3 11 8 12 
637 			Ciprian-54 		1077 	4 		9 7 7 14 0 2 10 12 10 2 2 5 12 14 3 
652 			Andreea-31 		1036 	2 		3 6 4 2 1 8 7 9 6 3 10 3 9 9 13 
661 			Tiberiu-8 		1045 	3 		5 7 1 0 8 9 6 10 7 7 9 7 14 6 12 
668 			Tiberiu-19 		1028 	2 		10 4 13 2 14 9 9 8 14 6 8 14 7 10 7 
682 			Silvia-14 		1086 	5 		10 6 10 10 5 4 5 6 2 12 14 2 5 10 12 
694 			Dalia-18 		1007 	1 		4 7 13 10 11 7 14 13 13 7 9 14 8 9 0 
698 			Marian-70 		1067 	4 		9 2 11 5 7 1 12 10 5 10 9 12 13 1 13 
706 			Ionela-12 		1095 	5 		10 3 8 2 8 13 5 14 5 4 7 1 3 0 4 
717 			Tiberiu-92 		1054 	3 		11 6 0 3 14 11 12 10 13 9 10 5 12 12 11 
728 			Robert-79 		1065 	4 		6 3 13 4 6 1 0 10 7 1 10 5 9 10 8 
741 			Lucia-61 		1089 	5 		8 9 14 0 1 13 3 2 6 7 3 9 4 8 14 
750 			Camelia-65 		1005 	1 		14 4 0 5 11 10 11 7 13 8 5 8 4 0 3 
759 			Ioana-44 		1009 	1 		12 8 3 9 2 5 8 9 1 2 9 11 7 4 12 
768 			Diana-61 		1047 	3 		7 9 10 4 14 8 6 14 7 5 14 10 9 8 12 
780 			Doina-37 		1086 	5 		13 14 14 0 12 7 4 0 0 12 4 10 12 9 13 
792 			Bogdana-81 		1011 	1 		6 14 13 14 13 8 14 8 2 4 1 8 3 0 3 
804 			Andreea-61 		1058 	3 		6 1 7 7 4 9 6 0 6 13 1 7 2 14 4 
813 			Silvia-80 		1042 	3 		8 1 7 9 5 5 5 7 8 4 9 0 1 5 10 
824 			Lucia-10 		1050 	3 		2 7 14 7 4 1 9 5 8 12 13 0 4 13 11 
832 			Madalina-32 		1057 	3 		7 8 9 7 9 3 12 1 5 6 4 3 12 14 1 
835 			Liviu-68 		1088 	5 		13 9 4 4 4 0 5 8 9 8 11 8 1 5 13 
854 			Bogdan-10 		1063 	4 		10 14 9 4 10 6 1 11 4 9 2 6 4 2 1 
861 			Bogdana-97 		1018 	1 		13 3 6 0 6 7 9 9 7 3 6 10 14 2 10 
872 			Suzana-25 		1011 	1 		14 5 0 12 10 14 12 11 1 1 8 14 14 2 14 
883 			Andreea-67 		1061 	4 		6 8 10 1 3 1 0 7 13 0 13 6 7 6 8 
892 			Florin-25 		1049 	3 		14 7 13 6 4 6 8 13 14 8 0 4 0 7 7 
899 			Dalia-67 		1073 	4 		13 11 6 2 3 13 8 11 7 12 1 4 2 5 3 
907 			Florentina-92 		1025 	2 		1 13 1 1 7 6 12 3 1 14 8 8 2 14 1 
922 			Anda-60 		1012 	1 		7 10 7 12 12 9 9 13 13 8 0 13 2 11 3 
933 			Elena-43 		1027 	2 		12 2 4 14 3 0 11 12 12 2 12 5 5 8 11 
936 			Suzana-81 		1081 	5 		5 11 13 3 0 14 9 10 4 2 10 0 14 13 7 
948 			Dalia-77 		1099 	5 		6 10 3 2 8 8 8 2 9 5 7 9 13 5 2 
960 			Alin-97 		1095 	5 		6 1 9 9 4 7 6 8 6 7 6 13 2 14 13 
972 			Cristina-65 		1044 	3 		6 9 2 12 7 8 9 8 0 2 13 7 2 13 11 
978 			Ionela-68 		1049 	3 		2 4 6 8 9 0 10 9 2 12 11 11 8 14 5 
